path	methods	auth_wrappers	perm_or_role_args	tenant_scoping	service_role_direct	tables_touched
app/api/v1/auth/forgot-password/start/route.ts	POST:11		;		0	
app/api/v1/auth/login/route.ts	POST:57	80:withAdminDb;184:withAdminDb;216:withAdminDb	;	withAdminDb;	0	a,group_officers,members,one,refresh_tokens,roles
app/api/v1/auth/logout/route.ts	POST:8	19:withAdminDb	;	withAdminDb;	0	refresh_tokens
app/api/v1/auth/memberships/route.ts	GET:15	16:withAuth;18:withAdminDb	;	withAdminDb;ctx.groupId;	0	
app/api/v1/auth/refresh/route.ts	POST:51	75:withAdminDb;119:withAdminDb;161:withAdminDb;194:withAdminDb	;	withAdminDb;	0	current,group_members,groups,members,plain,refresh_tokens,roles,the
app/api/v1/auth/register/route.ts	POST:46	88:withAdminDb;124:withAdminDb	;	withAdminDb;	0	creator_role,group_members,refresh_tokens
app/api/v1/auth/switch-group/route.ts	POST:44	45:withAuth;52:withAdminDb;105:withAdminDb	;	withAdminDb;ctx.groupId;	0	group_officers,refresh_tokens,roles
app/api/v1/auth/verify/complete/route.ts	POST:47	48:withAuth;53:withAdminDb;89:withAdminDb	;	withAdminDb;ctx.groupId;	0	group_members,group_officers,groups,members,refresh_tokens
app/api/v1/auth/verify/email/route.ts	POST:22		;		0	their
app/api/v1/auth/verify/start/route.ts	POST:27	28:withAuth;32:withAdminDb	;	withAdminDb;ctx.groupId;	0	groups,members
app/api/v1/billing/invoices/route.ts	GET:7	8:withPermission	billing.manage;	ctx.groupId;	0	
app/api/v1/billing/payments/route.ts	POST:8	9:withPermission	billing.manage;	ctx.groupId;	0	
app/api/v1/billing/plans/route.ts	GET:9;POST:24	10:withAuth;25:withPermission	billing.manage;	ctx.groupId;	0	
app/api/v1/contributions/[id]/receipt/route.ts	GET:18	21:withAuth;25:withDb	;	withDb;ctx.groupId;	0	contributions,group_members,groups,members
app/api/v1/contributions/[id]/route.ts	GET:9;PATCH:17;DELETE:26	11:withAuth;19:withPermission;28:withPermission	contributions.record;	ctx.groupId;	0	
app/api/v1/contributions/non-contributors/route.ts	GET:9	10:withPermission	contributions.view;	ctx.groupId;	0	
app/api/v1/contributions/policy/route.ts	GET:17;PUT:24	18:withAuth;25:withPermission	treasury.manage;	ctx.groupId;	0	
app/api/v1/contributions/route.ts	GET:8;POST:16	9:withAuth;17:withPermission	contributions.record;	ctx.groupId;	0	
app/api/v1/credit-scores/[memberId]/history/route.ts	GET:11	13:withAuth	;	ctx.groupId;	0	
app/api/v1/credit-scores/[memberId]/recompute/route.ts	POST:10	12:withPermission	credit_scores.recompute;	ctx.groupId;	0	
app/api/v1/credit-scores/[memberId]/route.ts	GET:10	12:withAuth	;	ctx.groupId;	0	
app/api/v1/credit-scores/policy/route.ts	GET:16;PUT:23	17:withAuth;24:withPermission	credit_scores.policy.manage;	ctx.groupId;	0	
app/api/v1/credit-scores/recompute/route.ts	POST:12	13:withPermission	admin.recompute;	ctx.groupId;	0	
app/api/v1/credit-scores/route.ts	GET:9	10:withAuth	;	ctx.groupId;	0	
app/api/v1/credit-scores/summary/route.ts	GET:8	9:withAuth	;	ctx.groupId;	0	
app/api/v1/daraja/c2b-confirm/route.ts	POST:21		;		0	
app/api/v1/daraja/c2b-validate/route.ts	POST:22;GET:26		;		0	
app/api/v1/dividends/[id]/allocations/[allocId]/pay/route.ts	POST:10	12:withPermission	dividends.manage;	ctx.groupId;	0	
app/api/v1/dividends/[id]/allocations/bulk-pay/route.ts	POST:10	12:withPermission	dividends.manage;	ctx.groupId;	0	
app/api/v1/dividends/[id]/allocations/route.ts	GET:10	12:withAuth	;	ctx.groupId;	0	
app/api/v1/dividends/[id]/approve/route.ts	POST:14	16:withPermission	dividends.approve;	ctx.groupId;	0	
app/api/v1/dividends/[id]/cancel/route.ts	POST:10	12:withPermission	dividends.approve;	ctx.groupId;	0	
app/api/v1/dividends/[id]/preview/route.ts	GET:10	12:withAuth	;	ctx.groupId;	0	
app/api/v1/dividends/[id]/route.ts	GET:10;PATCH:20	12:withAuth;22:withPermission	dividends.manage;	ctx.groupId;	0	
app/api/v1/dividends/[id]/submit/route.ts	POST:9	11:withPermission	dividends.manage;	ctx.groupId;	0	
app/api/v1/dividends/route.ts	GET:8;POST:17	9:withAuth;18:withPermission	dividends.manage;	ctx.groupId;	0	
app/api/v1/email/analytics/route.ts	GET:6	7:withAuth	;	ctx.groupId;	0	
app/api/v1/email/branding/route.ts	GET:17;PUT:30	18:withAuth;19:withAdminDb;31:withPermission;34:withAdminDb	messaging.manage;	withAdminDb;ctx.groupId;	0	group_email_branding
app/api/v1/email/campaigns/[id]/route.ts	GET:26;POST:52	28:withPermission;30:withAdminDb;40:withAdminDb;54:withPermission;58:withAdminDb;79:withAdminDb	messaging.manage,messaging.send;	withAdminDb;ctx.groupId;	0	email_campaign_recipients,email_campaigns
app/api/v1/email/campaigns/route.ts	GET:22;POST:38	23:withPermission;24:withAdminDb;39:withPermission	messaging.manage,messaging.send;	withAdminDb;ctx.groupId;	0	email_campaigns
app/api/v1/email/logs/route.ts	GET:15	16:withAuth;41:withAdminDb;53:withAdminDb	;	withAdminDb;ctx.groupId;	0	email_logs
app/api/v1/email/preferences/route.ts	GET:20;PUT:42	21:withAuth;22:withAdminDb;43:withAuth;47:withAdminDb;62:withAdminDb	;	withAdminDb;	0	email_preferences
app/api/v1/email/schedules/route.ts	GET:27;POST:48;PATCH:70	28:withPermission;29:withAdminDb;43:withOneOf;49:withAnyPermission;71:withPermission;74:withAdminDb	chairperson,messaging.manage,messaging.schedules.manage,messaging.schedules.view,super_admin,treasurer,treasury.manage;	withAdminDb;ctx.groupId;	0	email_schedules
app/api/v1/email/templates/[id]/route.ts	GET:45;PUT:59;DELETE:82	28:withAdminDb;47:withPermission;48:withAdminDb;61:withPermission;65:withAdminDb;84:withPermission;87:withAdminDb	messaging.templates.manage,messaging.templates.view;	withAdminDb;ctx.groupId;	0	email_templates
app/api/v1/email/templates/route.ts	GET:17;POST:32	18:withPermission;19:withAdminDb;33:withPermission;36:withAdminDb	messaging.templates.manage,messaging.templates.view;	withAdminDb;ctx.groupId;	0	email_templates
app/api/v1/email/webhooks/resend/route.ts	POST:25		;		0	
app/api/v1/email/webhooks/sendgrid/route.ts	POST:27		;		0	
app/api/v1/fines/policy/route.ts	GET:15;PUT:22	16:withAuth;23:withPermission	fines.manage;	ctx.groupId;	0	
app/api/v1/import/[jobId]/commit/route.ts	POST:15	17:withPermission	import.commit;	ctx.groupId;	0	
app/api/v1/import/[jobId]/rollback/route.ts	POST:23	25:withPermission	import.rollback;	ctx.groupId;	0	
app/api/v1/import/[jobId]/route.ts	GET:10;DELETE:22	12:withAuth;24:withPermission	import.cancel;	ctx.groupId;	0	
app/api/v1/import/preview/route.ts	POST:15	16:withPermission	import.preview;	ctx.groupId;	0	
app/api/v1/import/route.ts	GET:12;POST:31	13:withAuth;32:withPermission	import.start;	ctx.groupId;	0	
app/api/v1/import/template/route.ts	GET:15	16:withAuth	;		0	
app/api/v1/investments/[id]/returns/route.ts	POST:9	11:withPermission	investments.manage;	ctx.groupId;	0	
app/api/v1/investments/[id]/route.ts	GET:9;PATCH:17	11:withPermission;19:withPermission	investments.manage,investments.view;	ctx.groupId;	0	
